x-value,y-value,z-value,timestamp,travel_mode,disp(mtr),speed(m/s),aggr_acc
-13.4387515,-5.25270085,1.76926425,04-09-2017 11:55:43,Walk,1281.85131498,1274.58286941,14.5368911424
-13.256302,-7.0766296,0.95928955,04-09-2017 11:55:44,Walk,1297.16912735,1289.6403747,15.0575052931
-15.6874085,-7.295868,0.99129488,04-09-2017 11:55:45,Walk,1315.634433,1306.9697469,17.3293722004
-13.9756315,-5.3609696,1.761184675,04-09-2017 11:55:46,Walk,1329.57749104,1322.04157633,15.071829429
-13.3286745,-5.7462158,1.43247985,04-09-2017 11:55:47,Walk,1343.91919632,1336.62665632,14.5850799952
-11.837349,-8.661873,1.7492218,04-09-2017 11:55:48,Walk,1358.7845887,1351.39861124,14.7719549187
-14.215225,-5.902359,1.2829285,04-09-2017 11:55:49,Walk,1374.56651642,1366.84388136,15.4452701207
-13.021202,-6.07762915,1.80366515,04-09-2017 11:55:50,Walk,1388.56761476,1381.32637029,14.4824889292
-13.500061,-4.5489044,1.6795349,04-09-2017 11:55:51,Walk,1402.84313783,1395.67088199,14.3445116935
-13.16986075,-5.46984865,0.74214175,04-09-2017 11:55:52,Walk,1417.09071659,1409.95077172,14.2798897337
-13.156998,-5.076828,1.0579987,04-09-2017 11:55:53,Walk,1431.16398259,1424.0929123,14.1421405792
-14.27504,-8.590088,0.61772156,04-09-2017 11:55:54,Walk,1449.10056927,1440.76468361,16.6717713149
-17.014816,-8.922089,2.2914886,04-09-2017 11:55:55,Walk,1469.78720505,1460.11303124,19.3483476204
-14.0303805,-6.34711455,1.5263901,04-09-2017 11:55:56,Walk,1483.32512809,1475.58776247,15.4747312359
1.68867495,-1.38171385,13.0974885,04-09-2017 11:56:11,Walk,1495.50474424,1488.86575032,13.2779878467
-2.1099396,-1.5647583,17.533783,04-09-2017 11:56:28,Walk,1515.45994489,1506.59521336,17.7294630473
20.1612625,-10.075432,7.3774413,04-09-2017 13:51:18,Walk,11.8576713114,0,23.7153426228
12.409714,-5.708542,4.363693,04-09-2017 13:51:19,Walk,21.5097212286,14.3398141524,14.3398141524
18.0956575,-11.4872055,8.3692705,04-09-2017 13:51:20,Walk,48.8545957443,37.349668547,23.0098543946
14.119385,-3.4664612,6.924011,04-09-2017 13:51:21,Walk,61.5045739971,53.4529388471,16.1032703001
1.6348267,2.4988403,13.814133,04-09-2017 13:51:23,Walk,74.6527276758,67.5861313995,14.1331925525
0.694458,2.344513,13.879944,04-09-2017 13:51:26,Walk,88.7266536677,81.6798129116,14.0936815121
0.6298523,1.2641449,14.161102,04-09-2017 13:51:27,Walk,103.026851787,95.9111721616,14.23135925
0.68907165,2.53772735,14.3531265,04-09-2017 13:51:28,Walk,117.799205887,110.503194645,14.5920224838
0.40851593,3.3159944,14.609154,04-09-2017 13:51:29,Walk,132.982689538,125.489524574,14.9863299284
8.313202,0.1299591,12.335373,04-09-2017 13:51:32,Walk,147.803134743,140.365264687,14.875740113
5.46335605,1.6260605,14.5188215,04-09-2017 13:51:33,Walk,163.761827407,155.962973167,15.59770848
5.24321,-0.60583496,15.925812,04-09-2017 13:51:34,Walk,181.129458691,172.740630183,16.7776570165
12.5006405,-8.6325685,2.88253015,04-09-2017 13:51:38,Walk,195.934735506,188.203367065,15.462736882
2.6230621,-1.2854004,15.164886,04-09-2017 13:51:45,Walk,211.3688494,203.647021955,15.44365489
-11.578323,6.0982513,7.9523163,04-09-2017 13:53:46,Walk,7.65646078396,0,15.3129215679
2.972412,-2.4818115,13.8793335,04-09-2017 13:53:48,Walk,21.6140849819,14.4093899879,14.4093899879
2.62486265,0.540924066,14.852028,04-09-2017 13:53:51,Walk,37.0472296949,29.5012831259,15.091893138
5.281494,13.236633,1.2721558,04-09-2017 13:54:02,Walk,50.9633957424,43.8093582036,14.3080750777
-17.312729,-10.291977,1.7255859,04-09-2017 14:11:14,Walk,10.1073367251,0,20.2146734501
-14.060883,-3.1840973,6.784622,04-09-2017 14:11:15,Walk,23.9003243615,15.9335495744,15.9335495744
-11.330673,-8.94603,-0.41957092,04-09-2017 14:11:16,Walk,37.5976026829,30.3762516467,14.4427020724
-17.617813,-6.437149,1.3571014,04-09-2017 14:11:17,Walk,58.5852640242,49.1822598984,18.8060082516
-13.424393,-6.305542,2.0904999,04-09-2017 14:11:18,Walk,71.6494548416,64.1603898605,14.9781299622
2.0081177,-15.502365,-1.1912537,04-09-2017 14:11:19,Walk,87.6762062615,79.8376007945,15.677210934
-1.1635742,-14.8903885,-0.718971273,04-09-2017 14:11:20,Walk,102.267215418,94.7906772101,14.9530764156
1.9865723,-14.283218,0.8145294,04-09-2017 14:11:21,Walk,116.456215495,109.2343694,14.4436921901
1.5205688,-16.334457,-6.243698,04-09-2017 14:11:22,Walk,135.563979239,126.787442626,17.553073226
2.5868759,-14.5754395,-2.0987242,04-09-2017 14:11:23,Walk,149.21432416,141.738696982,14.9512543557
3.7922592,-13.24353775,4.66309365,04-09-2017 14:11:24,Walk,163.554131193,156.282319789,14.5436228074
2.3287506,-15.4844055,-1.8636322,04-09-2017 14:11:25,Walk,179.9358986,172.05137233,15.7690525404
4.24539945,-15.348625,2.2615891,04-09-2017 14:11:26,Walk,196.17846509,188.136100836,16.0847285068
1.8178864,-15.519104,0.3449402,04-09-2017 14:11:27,Walk,211.579631677,203.765121397,15.6290205601
0.73872375,-17.86766,-7.430542,04-09-2017 14:11:28,Walk,232.812958965,223.130346442,19.3652250456
3.5592651,-13.30574,3.754715,04-09-2017 14:11:29,Walk,244.544598283,237.406514336,14.2761678938
5.594345,-13.44812,2.3812256,04-09-2017 14:11:30,Walk,259.544545898,252.165202044,14.7586877083
1.7257538,-13.937454,-6.632538,04-09-2017 14:11:33,Walk,275.462158361,267.696506256,15.5313042112
1.9315491,-15.01841,-1.3527603,04-09-2017 14:11:34,Walk,290.500131688,282.898923211,15.2024169553
2.0631561,-15.959381,-0.3322296,04-09-2017 14:11:35,Walk,307.042346143,298.994538499,16.0956152881
2.14390565,-16.3434295,-6.3053055,04-09-2017 14:11:36,Walk,325.466920666,316.642793277,17.6482547779
6.6513824,-14.530869,2.0713654,04-09-2017 14:11:37,Walk,340.814565901,332.757308359,16.1145150826
6.8927535,-14.548813,-2.791153,04-09-2017 14:12:24,Walk,357.26606654,349.09648048,16.3391721207
6.687866,-13.914108,1.6005707,04-09-2017 14:12:28,Walk,372.377513623,364.617169242,15.5206887616
5.3359222,-12.845718,1.162674,04-09-2017 14:13:08,Walk,385.554737913,378.575548356,13.958379114
1.5283508,-15.121902,-4.619568,04-09-2017 14:13:09,Walk,402.403754661,394.461019226,15.8854708703
0.26553345,-16.154404,3.3371582,04-09-2017 14:13:10,Walk,419.207469038,410.958652434,16.4976332078
4.7281494,-20.072052,-5.5880585,04-09-2017 14:13:12,Walk,443.006357478,432.32378913,21.365136696
3.0041199,-16.601852,-6.469208,04-09-2017 14:13:13,Walk,459.427626059,450.393013749,18.0692246195
5.112198,-21.74881,-8.058655,04-09-2017 14:13:14,Walk,486.018794537,474.143534275,23.7505205252
3.84280385,-14.920898,-2.92365265,04-09-2017 14:13:16,Walk,497.667632293,489.826266287,15.6827320124
3.62087255,-12.839447,-3.376503,04-09-2017 14:13:17,Walk,510.467644682,503.587185217,13.76091893
5.876114,-13.035355,4.281723,04-09-2017 14:13:19,Walk,525.976028019,518.513080419,14.9258952015
6.9965515,-14.122299,0.88990784,04-09-2017 14:13:20,Walk,542.191377344,534.298611702,15.7855312835
3.606514015,-14.292488,-1.80591585,04-09-2017 14:13:21,Walk,556.574671708,549.149318373,14.850706671
3.0645447,-14.910736,-10.432327,04-09-2017 14:13:22,Walk,576.830513977,567.603448776,18.4541304026
3.74709322,-16.993385,-2.901824975,04-09-2017 14:13:23,Walk,594.066290015,585.245342935,17.6418941597
6.55417635,-12.5415345,0.23846435,04-09-2017 14:13:24,Walk,606.474671848,599.398228877,14.152885942
1.4715271,-13.887192,0.9186096,04-09-2017 14:13:29,Walk,620.390906382,613.393347214,13.9951183363
5.9120026,-12.249313,4.108246,04-09-2017 14:13:30,Walk,634.705762376,627.601623988,14.2082767749
5.2390137,-14.972351,-0.41955566,04-09-2017 14:13:37,Walk,651.403678909,643.469660602,15.8680366135
6.899643,-13.625778,1.0627899,04-09-2017 14:13:38,Walk,666.434676376,658.779671118,15.3100105161
2.6422119,-15.333061,-0.80750275,04-09-2017 14:13:39,Walk,682.149656871,674.35966162,15.5799905021
1.6121063,-17.117508,-7.802017,04-09-2017 14:13:40,Walk,702.680656152,693.240324641,18.8806630212
7.031845,-14.623581,1.3565063,04-09-2017 14:13:41,Walk,717.664823983,709.523324203,16.2829995612
6.72377,-14.587097,-5.4235535,04-09-2017 14:13:54,Walk,734.952966012,726.476418742,16.9530945396
5.960449,-14.486893,1.24583435,04-09-2017 14:14:15,Walk,750.048341228,742.191033733,15.7146149906
2.26474,-14.879028,1.3612823,04-09-2017 14:14:16,Walk,764.858788909,757.302870517,15.1118367842
1.3740082,-15.287003,-0.84069824,04-09-2017 14:14:32,Walk,780.360321564,772.674504548,15.3716340311
2.7486877,-15.976135,1.7124329,04-09-2017 14:14:33,Walk,797.126096523,788.975565865,16.3010613166
3.12377165,-14.88681025,0.69190214,04-09-2017 14:14:34,Walk,811.81568504,804.202311982,15.226746117
2.1433105,-15.4999695,-0.6696167,04-09-2017 14:14:35,Walk,827.694975668,819.864087773,15.6617757909
3.6160889,3.3925629,13.482727,04-09-2017 14:16:29,Walk,7.18278339712,0,14.3655667942
-14.437149,-6.3827057,8.095291,04-09-2017 14:16:41,Walk,26.6098452508,17.7398968339,17.7398968339
-11.658188,-6.86486815,5.7260971,04-09-2017 14:16:42,Walk,39.7765228882,32.4309808701,14.6910840362
-9.686203,3.800537,10.483917,04-09-2017 14:16:44,Walk,54.5873125349,47.2018686466,14.7708877766
-12.88002775,-5.2757263,5.22299955,04-09-2017 14:16:45,Walk,69.5013817814,62.0682107365,14.8663420899
-13.7333675,-4.4469223,7.1073532,04-09-2017 14:16:46,Walk,86.2035309803,78.1584242323,16.0902134958
-12.193283,-7.2530975,5.135971,04-09-2017 14:16:47,Walk,100.79112152,93.2468890905,15.0884648581
-13.749512,-5.26915,5.6495285,04-09-2017 14:16:48,Walk,116.903662688,109.018071489,15.7711823981
-12.3999635,-5.0208893,4.60924535,04-09-2017 14:16:50,Walk,130.242597995,123.167755826,14.1496843378
-12.957794,-1.7005463,4.9164276,04-09-2017 14:16:51,Walk,144.112372621,137.130833689,13.9630778631
-13.030777,-4.4146195,4.955307,04-09-2017 14:16:52,Walk,159.065998028,151.754276582,14.6234428921
-13.299957,-2.6965637,4.7555084,04-09-2017 14:16:54,Walk,173.32379529,166.13395572,14.3796791387
-13.550018,-5.673233,3.9275818,04-09-2017 14:16:55,Walk,188.942562283,181.339693429,15.2057377088
-13.643936,-3.7218933,5.0073547,04-09-2017 14:16:56,Walk,203.843847066,196.34246252,15.0027690911
-13.146225,-4.2112274,4.848236,04-09-2017 14:16:58,Walk,218.288803573,210.973356556,14.6308940355
-13.51681525,-2.91132355,3.77923585,04-09-2017 14:17:00,Walk,232.474312966,225.307327496,14.3339709406
-13.515915,-2.1186981,3.8097382,04-09-2017 14:17:01,Walk,246.609595601,239.508839566,14.2015120702
